;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Average; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;Totals; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;01/08/24; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
Supp. Cd.;Supplier Name;Sub-Department;Supplier Product Code;Analysis Group;Product Code;EAN;> Department Type;Product Description;Department;Size;SOH;SP;List Cost;Last Sales Date;Stock Unit;On Order Qty;Detail;Status;Main Order Sheet;Area/Module;Order Sheet;Min. Stock Quantity;Min. Stock at SP;Nett Cost;Average Cost;Last Rcvd Cost;GP List Cost / Each;GP% List Cost / Each;GP Nett Cost / Each;GP% Nett Cost / Each;GP Avg. Cost / Each;GP% Avg. Cost / Each;GP Last Rcvd Cost / Each;GP% Last Rcvd Cost / Each;Shelf Label Text;Stock Cover (Days);Todays Sales;Sales incl. VAT;Sales Ratio at SP (Incl. VAT) (%);Sales excl. VAT;Sales Ratio at SP (Excl. VAT) (%);Sales excl. VAT 2;Sales Ratio at SP (Excl. VAT 2) (%);Sales at CP;Sales Ratio at CP (%);VAT on Sales;VAT 2 on Sales;Sales Quantity;Gross Profit;GP Ratio (%);Ø SP (Incl. VAT);Ø SP (Excl. VAT);Ø CP;GP %;Stock at SP (Incl. VAT);Stock at SP (Excl. VAT);Stock at CP;Stock on Hand;Diff. Min. Stock at SP;Diff. Min. Stock at SP (%);Stock Turn;Promotion Sales incl. VAT;Promotion Sales excl. VAT;Promotion Sales excl. VAT 2;Promotion Sales at CP;VAT on Promotion Sales;VAT 2 on Promotion Sales;Promotion Sales Quantity;Spec. Sell. Promo. incl. VAT;Spec. Sell. Promo. excl. VAT;Spec. Sell. Promo. excl. VAT 2;Spec. Sell. Promo. at CP;VAT on Spec. Sell. Promo.;VAT 2 on Spec. Sell. Promo.;Spec. Sell. Promo. Quantitiy;EKKond Umsatz Differenz;Umsatz Absatz;Anteil am Umsatz;Umsatz Rohertrag;Umsatz Bestand;Sales incl. VAT;Sales Ratio at SP (Incl. VAT) (%);Sales excl. VAT;Sales Ratio at SP (Excl. VAT) (%);Sales excl. VAT 2;Sales Ratio at SP (Excl. VAT 2) (%);Sales at CP;Sales Ratio at CP (%);VAT on Sales;VAT 2 on Sales;Sales Quantity;Gross Profit;GP Ratio (%);Ø SP (Incl. VAT);Ø SP (Excl. VAT);Ø CP;GP %;Stock at SP (Incl. VAT);Stock at SP (Excl. VAT);Stock at CP;Stock on Hand;Diff. Min. Stock at SP;Diff. Min. Stock at SP (%);Stock Turn;Promotion Sales incl. VAT;Promotion Sales excl. VAT;Promotion Sales excl. VAT 2;Promotion Sales at CP;VAT on Promotion Sales;VAT 2 on Promotion Sales;Promotion Sales Quantity;Spec. Sell. Promo. incl. VAT;Spec. Sell. Promo. excl. VAT;Spec. Sell. Promo. excl. VAT 2;Spec. Sell. Promo. at CP;VAT on Spec. Sell. Promo.;VAT 2 on Spec. Sell. Promo.;Spec. Sell. Promo. Quantitiy;EKKond Umsatz Differenz;Umsatz Absatz;Anteil am Umsatz;Umsatz Rohertrag;Umsatz Bestand;Sales incl. VAT;Sales Ratio at SP (Incl. VAT) (%);Sales excl. VAT;Sales Ratio at SP (Excl. VAT) (%);Sales excl. VAT 2;Sales Ratio at SP (Excl. VAT 2) (%);Sales at CP;Sales Ratio at CP (%);VAT on Sales;VAT 2 on Sales;Sales Quantity;Gross Profit;GP Ratio (%);Ø SP (Incl. VAT);Ø SP (Excl. VAT);Ø CP;GP %;Stock at SP (Incl. VAT);Stock at SP (Excl. VAT);Stock at CP;Stock on Hand;Diff. Min. Stock at SP;Diff. Min. Stock at SP (%);Stock Turn;Promotion Sales incl. VAT;Promotion Sales excl. VAT;Promotion Sales excl. VAT 2;Promotion Sales at CP;VAT on Promotion Sales;VAT 2 on Promotion Sales;Promotion Sales Quantity;Spec. Sell. Promo. incl. VAT;Spec. Sell. Promo. excl. VAT;Spec. Sell. Promo. excl. VAT 2;Spec. Sell. Promo. at CP;VAT on Spec. Sell. Promo.;VAT 2 on Spec. Sell. Promo.;Spec. Sell. Promo. Quantitiy;EKKond Umsatz Differenz;Umsatz Absatz;Anteil am Umsatz;Umsatz Rohertrag;Umsatz Bestand
1668;SPAR WESTERN CAPE;210;2844079;0;2514;6001008777592;1;SPAR SPICE WORS FARMHOUSE;2;KG;7.500;513.99;316.1111;;Kg;0.000;;A;;0;Default Order Sheet;0.000;0.00;317.6917;317.6900;317.6900;130.84;29.27;129.26;28.92;129.26;28.92;129.26;28.92;SPAR SPICE WORS FARMHOUSE 3KG;9999;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;3 854.93;3 352.11;2 382.6750;7.500;3 854.93;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;3854.93;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;3 854.93;3 352.11;2 382.6750;7.500;3 854.93;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;3854.93;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;3 854.93;3 352.11;2 382.6750;7.500;3 854.93;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;3854.93
1668;SPAR WESTERN CAPE;210;2910757;0;2527;6001008777615;1;SPAR SPICE B/WORS KALAHAR;2;1KG;0.000;125.99;89.0444;;Kg;0.000;;A;;0;Default Order Sheet;0.000;0.00;89.2670;0.0000;0.0000;20.51;18.72;20.29;18.52;109.56;100.00;109.56;100.00;SPAR SPICE BOEREWORS KALAHARI 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
1668;SPAR WESTERN CAPE;210;2910759;0;2528;6001008777240;1;SPAR SPICE B/WORS GRABOUW;2;1KG;0.000;129.99;87.8889;;Each;0.000;;A;;0;Default Order Sheet;0.000;0.00;88.1086;81.1918;81.1918;25.15;22.25;24.93;22.05;31.84;28.17;31.84;28.17;SPAR SPICE B/WORS GRABOUW 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
1668;SPAR WESTERN CAPE;210;2910761;0;2529;6001008777264;1;SPAR SPICE B/WORS OUKRANS;2;1KG;0.000;155.99;103.3333;;Each;0.000;;A;;0;Default Order Sheet;0.000;0.00;103.5916;0.0000;0.0000;32.31;23.82;32.05;23.63;135.64;100.00;135.64;100.00;SPAR SPICE B/WORS OUKRANS 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
1668;SPAR WESTERN CAPE;210;2910767;0;2530;6001008777233;1;SPAR SPICE B/WORS ROOIBRG;2;1KG;0.000;141.99;98.2222;;Each;0.000;;A;;0;Default Order Sheet;0.000;0.00;98.4678;0.0000;0.0000;25.25;20.45;25.00;20.25;123.47;100.00;123.47;100.00;SPAR SPICE B/WORS ROOIBERG 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
1668;SPAR WESTERN CAPE;210;2910769;0;2531;6001008777271;1;SPAR SPICE B/WORS K/BERG;2;1KG;0.000;159.99;103.3333;;Each;0.000;;A;;0;Default Order Sheet;0.000;0.00;103.5916;0.0000;0.0000;35.79;25.72;35.53;25.54;139.12;100.00;139.12;100.00;SPAR SPICE B/WORS KAMEELBERG 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
1668;SPAR WESTERN CAPE;210;2910825;0;2532;6001008777295;1;SPAR YB SPICE BEEF BURGER 1KG;2;1KG;0.000;109.99;72.1111;;Each;0.000;;A;;0;Default Order Sheet;0.000;0.00;72.2914;0.0000;0.0000;23.53;24.60;23.35;24.42;95.64;100.00;95.64;100.00;SPAR YB SPICE BEEF BURGER 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
1668;SPAR WESTERN CAPE;210;2910827;0;2533;6001008777288;1;SPAR SPICE CHGRILL BURGER;2;1KG;0.000;119.99;72.1111;;Each;0.000;;A;;0;Default Order Sheet;0.000;0.00;72.2914;68.2926;68.2926;32.23;30.89;32.05;30.71;36.05;34.55;36.05;34.55;SPAR SPICE CHARGRILL BURGER 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
1668;SPAR WESTERN CAPE;210;2910859;0;2534;6001008777301;1;SPAR YB SPICE BEEF SAUSAGE 1KG;2;1KG;0.000;139.99;92.5555;;Each;0.000;;A;;0;Default Order Sheet;0.000;0.00;92.7869;86.3708;86.3708;29.17;23.97;28.94;23.78;35.36;29.05;35.36;29.05;SPAR YB SPICE BEEF SAUSAGE 1KG;;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.00;0.0000;0.000;0.00;0.00;0.00;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.0000;0.00;0.00;0.000;0.00;0.00;0.00;0.00;0.00
